val_mcc,learning_rate,weight_decay,stage_type,pooling,mp_layers,layers_pre_mp,layers_post_mp,layer_type,layer_fingerprints,hidden_channels,has_l2norm,has_bn,fingerprint_type,conv_dropout,conv_aggr,act
0.785459697,0.001,0.0005,stack,add,3,1,3,sageconv,1,512,True,True,morgan2,0.3,max,swish
0.750349104,0.001,0.0005,skipconcat,max,2,4,1,sageconv,1,256,True,False,morgan2,0,sum,lrelu_01
0.746228695,0.001,0.0005,stack,max,3,3,5,sageconv,1,256,True,False,morgan2,0,sum,swish
0.753318548,0.001,0.0005,skipsum,mean,1,3,0,sageconv,1,256,True,True,morgan2,0.3,max,relu
0.623624504,0.001,0.0005,skipconcat,add,3,4,5,sageconv,1,512,False,False,morgan2,0.6,sum,lrelu_01
0.703968823,0.001,0.0005,skipsum,add,3,2,4,sageconv,1,256,False,False,morgan2,0,softmax,swish
0.789384007,0.001,0.0005,skipconcat,mean,1,4,4,sageconv,1,256,False,True,morgan2,0,softmax,relu
0.749848008,0.001,0.0005,skipsum,max,1,1,4,sageconv,1,512,True,False,morgan2,0,max,swish
0.710629821,0.001,0.0005,stack,mean,2,5,0,sageconv,1,512,False,False,morgan2,0.6,mean,lrelu_05
0.745252967,0.001,0.0005,skipconcat,mean,1,5,3,sageconv,1,512,True,False,morgan2,0.6,sum,lrelu_05
0.744442344,0.001,0.0005,stack,max,3,3,5,sageconv,1,256,True,False,morgan2,0,sum,swish
0.801181734,0.001,0.0005,skipsum,mean,2,3,3,sageconv,1,256,False,True,morgan2,0,sum,relu
0.785459697,0.001,0.0005,skipconcat,mean,3,3,2,sageconv,1,256,False,True,morgan2,0,max,relu
0.754097521,0.001,0.0005,stack,max,1,4,5,sageconv,1,256,False,True,morgan2,0.3,sum,relu
0.726240933,0.001,0.0005,skipsum,add,1,1,4,sageconv,1,256,False,False,morgan2,0.6,max,relu
0.742186844,0.001,0.0005,skipsum,max,3,2,2,sageconv,1,512,True,True,morgan2,0,max,lrelu_025
0.792130053,0.001,0.0005,stack,mean,1,5,2,sageconv,1,256,False,True,morgan2,0,mean,relu
0.736231565,0.001,0.0005,skipconcat,max,3,1,5,sageconv,1,512,True,True,morgan2,0.3,max,lrelu_05
0.707554579,0.001,0.0005,skipconcat,add,1,1,0,sageconv,1,512,False,True,morgan2,0.6,max,lrelu_05
0.757903099,0.001,0.0005,skipconcat,add,1,2,1,sageconv,1,512,False,True,morgan2,0,softmax,lrelu_01
0.801968396,0.001,0.0005,skipconcat,mean,2,5,2,sageconv,1,256,False,True,morgan2,0,sum,lrelu_025
0.77012372,0.001,0.0005,skipconcat,mean,1,2,3,sageconv,1,512,True,True,morgan2,0.6,mean,swish
0.771682262,0.001,0.0005,skipconcat,mean,3,5,3,sageconv,1,256,True,True,morgan2,0,mean,relu
0.817306519,0.001,0.0005,stack,mean,3,5,2,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_01
0.756557107,0.001,0.0005,skipsum,max,1,5,4,sageconv,1,256,False,False,morgan2,0.3,softmax,lrelu_025
0.612391949,0.001,0.0005,skipconcat,mean,1,1,1,sageconv,1,512,False,False,morgan2,0,sum,lrelu_025
0.803865373,0.001,0.0005,skipsum,mean,3,5,2,sageconv,1,256,False,True,morgan2,0,softmax,prelu
0.781026721,0.001,0.0005,stack,add,1,1,5,sageconv,1,512,True,True,morgan2,0.3,mean,relu
0.783827841,0.001,0.0005,stack,mean,3,5,0,sageconv,1,256,False,True,morgan2,0.6,softmax,lrelu_025
0.728750169,0.001,0.0005,skipconcat,max,1,4,2,sageconv,1,512,False,True,morgan2,0.6,mean,lrelu_05
0.698994458,0.001,0.0005,skipsum,max,1,3,1,sageconv,1,512,False,False,morgan2,0.6,mean,swish
0.706551433,0.001,0.0005,skipconcat,max,3,2,4,sageconv,1,512,True,True,morgan2,0,mean,lrelu_01
0.743569553,0.001,0.0005,skipconcat,max,3,5,1,sageconv,1,256,True,False,morgan2,0.3,mean,swish
0.80950439,0.001,0.0005,stack,mean,2,4,3,sageconv,1,256,False,True,morgan2,0.6,softmax,prelu
0.770709991,0.001,0.0005,stack,add,1,3,5,sageconv,1,512,True,True,morgan2,0.6,max,prelu
0.797971606,0.001,0.0005,stack,mean,1,3,5,sageconv,1,512,False,True,morgan2,0.6,max,prelu
0.787065208,0.001,0.0005,skipconcat,mean,1,5,2,sageconv,1,256,False,True,morgan2,0.6,softmax,lrelu_01
0.781226695,0.001,0.0005,stack,add,1,1,5,sageconv,1,512,False,False,morgan2,0.3,max,lrelu_01
0.765172362,0.001,0.0005,stack,mean,2,5,2,sageconv,1,256,False,False,morgan2,0.3,sum,prelu
0.774323463,0.001,0.0005,stack,add,3,1,4,sageconv,1,512,False,True,morgan2,0.6,max,relu
0.771967947,0.001,0.0005,stack,mean,3,3,1,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_01
0.792794049,0.001,0.0005,skipsum,add,1,1,4,sageconv,1,512,False,True,morgan2,0.3,softmax,swish
0.770368934,0.001,0.0005,skipsum,add,1,1,4,sageconv,1,512,False,False,morgan2,0.6,softmax,relu
0.796350956,0.001,0.0005,stack,mean,1,5,5,sageconv,1,256,False,True,morgan2,0,sum,lrelu_01
0.794911325,0.001,0.0005,stack,add,1,1,4,sageconv,1,512,True,True,morgan2,0,softmax,lrelu_01
0.800708115,0.001,0.0005,skipsum,mean,1,5,5,sageconv,1,256,False,True,morgan2,0.6,sum,prelu
0.615092397,0.001,0.0005,skipsum,add,1,1,4,sageconv,1,256,False,False,morgan2,0.6,max,relu
0.785116136,0.001,0.0005,stack,mean,1,1,5,sageconv,1,512,False,True,morgan2,0,max,lrelu_05
0.777559161,0.001,0.0005,stack,mean,1,5,5,sageconv,1,256,True,True,morgan2,0.6,softmax,lrelu_025
0.771986306,0.001,0.0005,stack,add,3,1,5,sageconv,1,512,False,True,morgan2,0,softmax,swish
0.774474323,0.001,0.0005,stack,add,1,1,3,sageconv,1,512,False,True,morgan2,0,max,prelu
